#T,Tunit,B,xAr,xKr
50,K,-1734.05,0.25,0.75
100,K,-357.72,0.25,0.75
150,K,-168.34,0.25,0.75
200,K,-95.11,0.25,0.75
250,K,-61.01,0.25,0.75
300,K,-40.69,0.25,0.75
0,C,-50.48,0.25,0.75
20,C,-42.98,0.25,0.75
40,C,-36.60,0.25,0.75
60,C,-31.10,0.25,0.75
80,C,-26.31,0.25,0.75
100,C,-22.09,0.25,0.75
150,C,-13.47,0.25,0.75
200,C,-6.83,0.25,0.75
50,K,-1322.86,0.5,0.5
100,K,-295.62,0.5,0.5
150,K,-137.24,0.5,0.5
200,K,-77.74,0.5,0.5
250,K,-49.07,0.5,0.5
300,K,-31.70,0.5,0.5
0,C,-40.09,0.5,0.5
20,C,-33.67,0.5,0.5
40,C,-28.19,0.5,0.5
60,C,-23.45,0.5,0.5
80,C,-19.31,0.5,0.5
100,C,-15.66,0.5,0.5
150,C,-8.19,0.5,0.5
200,C,-2.45,0.5,0.5
50,K,-982.66,0.75,0.25
100,K,-239.98,0.75,0.25
150,K,-109.71,0.75,0.25
200,K,-62.20,0.75,0.25
250,K,-38.32,0.75,0.25
300,K,-23.60,0.75,0.25
0,C,-30.74,0.75,0.25
20,C,-25.28,0.75,0.25
40,C,-20.61,0.75,0.25
60,C,-16.56,0.75,0.25
80,C,-13.02,0.75,0.25
100,C,-9.89,0.75,0.25
150,C,-3.49,0.75,0.25
200,C,1.43,0.75,0.25
