#T,Tunit,B,xHe,xAr
50,K,-408.93,0.25,0.75
100,K,-104.79,0.25,0.75
150,K,-42.76,0.25,0.75
200,K,-20.71,0.25,0.75
250,K,-9.19,0.25,0.75
300,K,-1.99,0.25,0.75
0,C,-5.49,0.25,0.75
20,C,-2.82,0.25,0.75
40,C,-0.50,0.25,0.75
60,C,1.52,0.25,0.75
80,C,3.29,0.25,0.75
100,C,4.86,0.25,0.75
150,C,8.06,0.25,0.75
200,C,10.50,0.25,0.75
50,K,-186.90,0.5,0.5
100,K,-42.42,0.5,0.5
150,K,-12.16,0.5,0.5
200,K,-1.37,0.5,0.5
250,K,4.13,0.5,0.5
300,K,7.51,0.5,0.5
0,C,5.86,0.5,0.5
20,C,7.12,0.5,0.5
40,C,8.22,0.5,0.5
60,C,9.18,0.5,0.5
80,C,10.03,0.5,0.5
100,C,10.78,0.5,0.5
150,C,12.31,0.5,0.5
200,C,13.45,0.5,0.5
50,K,-47.36,0.75,0.25
100,K,-3.71,0.75,0.25
150,K,6.06,0.75,0.25
200,K,9.54,0.75,0.25
250,K,11.17,0.75,0.25
300,K,12.10,0.75,0.25
0,C,11.65,0.75,0.25
20,C,11.99,0.75,0.25
40,C,12.29,0.75,0.25
60,C,12.56,0.75,0.25
80,C,12.79,0.75,0.25
100,C,12.99,0.75,0.25
150,C,13.37,0.75,0.25
200,C,13.63,0.75,0.25
