#T,Tunit,B,xKr,xXe
50,K,-7662.88,0.25,0.75
100,K,-856.20,0.25,0.75
150,K,-393.72,0.25,0.75
200,K,-230.23,0.25,0.75
250,K,-148.03,0.25,0.75
300,K,-103.30,0.25,0.75
0,C,-124.16,0.25,0.75
20,C,-108.08,0.25,0.75
40,C,-94.93,0.25,0.75
60,C,-83.81,0.25,0.75
80,C,-74.26,0.25,0.75
100,C,-65.97,0.25,0.75
150,C,-49.29,0.25,0.75
200,C,-36.66,0.25,0.75
50,K,-5267.95,0.5,0.5
100,K,-685.95,0.5,0.5
150,K,-320.66,0.5,0.5
200,K,-185.21,0.5,0.5
250,K,-119.28,0.5,0.5
300,K,-83.0,0.5,0.5
0,C,-100.12,0.5,0.5
20,C,-86.96,0.5,0.5
40,C,-76.04,0.5,0.5
60,C,-66.76,0.5,0.5
80,C,-58.75,0.5,0.5
100,C,-51.77,0.5,0.5
150,C,-37.66,0.5,0.5
200,C,-26.91,0.5,0.5
50,K,-3452.41,0.75,0.25
100,K,-542.41,0.75,0.25
150,K,-257.09,0.75,0.25
200,K,-146.57,0.75,0.25
250,K,-94.76,0.75,0.25
300,K,-65.43,0.75,0.25
0,C,-79.37,0.75,0.25
20,C,-68.67,0.75,0.25
40,C,-59.68,0.75,0.25
60,C,-52.00,0.75,0.25
80,C,-45.34,0.75,0.25
100,C,-39.51,0.75,0.25
150,C,-27.67,0.75,0.25
200,C,-18.60,0.75,0.25
