#T,Tunit,B,xNe,xKr
50,K,-1308.38,0.25,0.75
100,K,-255.04,0.25,0.75
150,K,-118.55,0.25,0.75
200,K,-63.61,0.25,0.75
250,K,-38.20,0.25,0.75
300,K,-23.23,0.25,0.75
0,C,-30.42,0.25,0.75
20,C,-24.91,0.25,0.75
40,C,-20.25,0.25,0.75
60,C,-16.25,0.25,0.75
80,C,-12.78,0.25,0.75
100,C,-9.75,0.25,0.75
150,C,-3.60,0.25,0.75
200,C,1.07,0.25,0.75
50,K,-642.44,0.5,0.5
100,K,-127.76,0.5,0.5
150,K,-55.87,0.5,0.5
200,K,-26.31,0.5,0.5
250,K,-12.18,0.5,0.5
300,K,-3.83,0.5,0.5
0,C,-7.83,0.5,0.5
20,C,-4.76,0.5,0.5
40,C,-2.17,0.5,0.5
60,C,0.03,0.5,0.5
80,C,1.93,0.5,0.5
100,C,3.58,0.5,0.5
150,C,6.89,0.5,0.5
200,C,9.38,0.5,0.5
50,K,-218.,0.75,0.25
100,K,-44.42,0.75,0.25
150,K,-14.98,0.75,0.25
200,K,-2.39,0.75,0.25
250,K,3.94,0.75,0.25
300,K,7.63,0.75,0.25
0,C,5.87,0.75,0.25
20,C,7.23,0.75,0.25
40,C,8.35,0.75,0.25
60,C,9.30,0.75,0.25
80,C,10.11,0.75,0.25
100,C,10.80,0.75,0.25
150,C,12.18,0.75,0.25
200,C,13.23,0.75,0.25
